City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
223,Aldan,RU,2021-12-03 01:43:22,58.6031,125.3894,-13.85,95,100,5.3,overcast clouds
224,Buarcos,PT,2021-12-03 01:43:23,40.166,-8.8768,48.56,83,0,15.08,clear sky
225,Praia Da Vitoria,PT,2021-12-03 01:43:23,38.7333,-27.0667,61.05,94,75,7.38,broken clouds
226,Norman Wells,CA,2021-12-03 01:43:24,65.282,-126.8329,-12.96,70,75,16.11,broken clouds
227,Eyrarbakki,IS,2021-12-03 01:43:24,63.863,-21.1481,37.45,85,100,15.57,overcast clouds
228,Hervey Bay,AU,2021-12-03 01:43:25,-25.2986,152.8535,87.04,70,33,7.0,scattered clouds
229,Oktyabrskoye,RU,2021-12-03 01:43:26,43.0645,44.7417,17.74,100,0,6.71,clear sky
230,Tigil,RU,2021-12-03 01:43:26,57.8,158.6667,25.61,90,100,36.66,light snow
231,Namatanai,PG,2021-12-03 01:43:27,-3.6667,152.4333,83.34,75,100,6.49,moderate rain
232,Kindu,CD,2021-12-03 01:42:45,-2.95,25.95,69.06,99,100,2.33,light rain
233,Buala,SB,2021-12-03 01:43:28,-8.145,159.5921,84.94,70,83,2.28,light rain
234,Matay,EG,2021-12-03 01:43:28,28.419,30.7792,56.77,65,64,6.71,broken clouds
235,Udachnyy,RU,2021-12-03 01:43:28,66.4167,112.4,-26.55,74,100,6.11,overcast clouds
236,Cairns,AU,2021-12-03 01:43:29,-16.9167,145.7667,96.94,58,40,12.66,scattered clouds
237,Bowen,AU,2021-12-03 01:43:29,-20.0167,148.2333,88.02,64,100,17.45,overcast clouds
238,Faya,SA,2021-12-03 01:43:30,18.3851,42.4509,44.71,29,0,1.68,clear sky
239,Chapais,CA,2021-12-03 01:43:30,49.7834,-74.8492,20.98,92,100,15.88,overcast clouds
240,Karasjok,NO,2021-12-03 01:43:31,69.4719,25.5112,-0.29,97,100,4.56,overcast clouds
241,Srednekolymsk,RU,2021-12-03 01:43:31,67.45,153.6833,-14.22,98,100,15.08,snow
242,Leningradskiy,RU,2021-12-03 01:43:32,69.3833,178.4167,4.33,92,100,17.11,overcast clouds
243,Port Hardy,CA,2021-12-03 01:43:32,50.6996,-127.4199,40.75,81,90,6.91,light rain
244,Springdale,US,2021-12-03 01:42:17,36.1867,-94.1288,62.08,54,1,0.0,clear sky
245,Barrow,US,2021-12-03 01:41:16,71.2906,-156.7887,-11.18,70,90,11.5,haze
246,Tessalit,ML,2021-12-03 01:43:33,20.1986,1.0114,69.89,15,81,2.73,broken clouds
247,Puerto El Triunfo,SV,2021-12-03 01:43:33,13.2833,-88.55,83.32,68,100,7.25,overcast clouds
248,Rosarito,MX,2021-12-03 01:43:34,32.3333,-117.0333,62.04,85,45,4.7,scattered clouds
249,Marquette,US,2021-12-03 01:43:34,46.5333,-87.6335,29.34,76,100,5.64,overcast clouds
250,Tortoli,IT,2021-12-03 01:43:35,39.9256,9.6572,51.98,54,0,4.61,clear sky
